complete,days,excess_median,filled,filled_within,mae_median,method,mfe_median,missed_no_fill,missed_prior_high,paired_excess,paired_excess_ci95,paired_mae,paired_mae_ci95,paired_mfe,paired_mfe_ci95,paired_n,paired_return,paired_return_ci95,paired_symbols,period,return_mean,return_median,sample_warning,setups,statuses,target_available,timeframe,wait_mean,wait_median,waiting_end_return_median,waiting_mfe_median,win_rate
53,20,0.009478477441705158,53,"{""20"": 38, ""30"": 42, ""60"": 53}",-0.0345578961419718,support,0.061468294775812726,15,27,0.0,,0.0,,0.0,,53,0.0,,49,2010-2014,0.018840976236105724,0.020420603474550214,False,78,"{""filled"": 53, ""invalidated"": 17, ""waiting_censored"": 8}",57,daily,14.69811320754717,8,0.0,0.039562426015543606,0.5849056603773585
49,20,-0.0039001507508684696,49,"{""20"": 40, ""30"": 45, ""60"": 49}",-0.04526398140043164,support,0.06010938131833532,16,22,0.0,,0.0,,0,,49,0.0,,47,2015-2019,0.025998753396342285,0.012094973516796337,False,90,"{""invalidated"": 32, ""filled"": 49, ""waiting_censored"": 9}",60,daily,10.10204081632653,7,0.0,0.03382482584303492,0.6122448979591837
136,20,0.0026409292189802924,136,"{""20"": 99, ""30"": 114, ""60"": 135}",-0.06857590492297722,support,0.06675531206577656,26,58,0.0,,0.0,,0.0,,136,0.0,,122,2020-2025,0.017969368059330828,0.012045016225079697,False,192,"{""filled"": 136, ""invalidated"": 31, ""waiting_censored"": 25}",118,daily,14.867647058823529,10.0,0.0,0.06489665776075015,0.5441176470588235
451,30,0.00922769245979227,451,"{""20"": 332, ""30"": 380, ""60"": 450}",-0.06584174380852759,support,0.0909090909090906,86,182,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",451,0.0,"[0.0, 0.0]",374,all,0.03208940903065044,0.031685538911255584,False,641,"{""filled"": 451, ""invalidated"": 124, ""waiting_censored"": 63, ""gap_invalidated"": 3}",402,daily,13.58980044345898,7,0.0,0.041599430808230586,0.614190687361419
213,30,0.01081974208837333,213,"{""20"": 155, ""30"": 179, ""60"": 213}",-0.06699867197875176,support,0.09076906201979296,29,75,0.0,,0.0,,0.0,,213,0.0,,192,2005-2009,0.026599849084475276,0.03798368045583955,False,281,"{""filled"": 213, ""waiting_censored"": 21, ""invalidated"": 44, ""gap_invalidated"": 3}",167,daily,13.300469483568076,6,0.0,0.03108586677862668,0.6150234741784038
53,30,-0.00457166527429953,53,"{""20"": 38, ""30"": 42, ""60"": 53}",-0.047741777150043685,support,0.06520795294295278,15,27,0.0,,0.0,,0.0,,53,0.0,,49,2010-2014,0.0245944071877615,0.017982322462663625,False,78,"{""filled"": 53, ""invalidated"": 17, ""waiting_censored"": 8}",57,daily,14.69811320754717,8,0.0,0.039562426015543606,0.5849056603773585
49,30,0.022453371596361182,49,"{""20"": 40, ""30"": 45, ""60"": 49}",-0.048387096774193616,support,0.09441391612425876,16,22,0.0,,0.0,,0.0,,49,0.0,,47,2015-2019,0.04274019798311557,0.05199662729542487,False,90,"{""invalidated"": 32, ""filled"": 49, ""waiting_censored"": 9}",60,daily,10.10204081632653,7,0.0,0.03382482584303492,0.6938775510204082
136,30,0.006174235763465485,136,"{""20"": 99, ""30"": 114, ""60"": 135}",-0.07733800762686943,support,0.09654749164608845,26,58,0.0,,0.0,,0.0,,136,0.0,,122,2020-2025,0.039770458350780094,0.024642409877082216,False,192,"{""filled"": 136, ""invalidated"": 31, ""waiting_censored"": 25}",118,daily,14.867647058823529,10.0,0.0,0.06489665776075015,0.5955882352941176
64,5,-0.002389456144086588,64,"{""20"": 48, ""30"": 53, ""60"": 64}",-0.024005186827175395,momentum,0.024226490967071412,255,267,0.0,"[-0.007984014741188039, 0.0]",0.0,"[-0.002333734863273318, 0.0]",0.0,"[-0.0043256357639266385, 0.0]",64,0.0,"[-0.006091823742681357, 0.0]",64,all,0.0005135787461671027,0.003060296338183943,False,641,"{""waiting_censored"": 299, ""invalidated"": 278, ""filled"": 64}",402,daily,13.5625,3.5,0.04184374273941405,0.12208026960760776,0.53125
21,5,0.002284113197863147,21,"{""20"": 15, ""30"": 18, ""60"": 21}",-0.03745875972036439,momentum,0.02915709728403959,115,118,0.0,,0.0,,0.0,,21,0.0,,21,2005-2009,-0.0007090426549803434,0.011176365889836282,True,281,"{""waiting_censored"": 134, ""invalidated"": 126, ""filled"": 21}",167,daily,13.047619047619047,4,0.040336092360970355,0.11735037108780477,0.5714285714285714
12,5,0.017053157222324478,12,"{""20"": 9, ""30"": 9, ""60"": 12}",-0.012039315678749218,momentum,0.0316234157314953,31,35,0.0,,0.0,,0.0,,12,0.0,,12,2010-2014,0.0035103828428346973,0.018728401298720443,True,78,"{""waiting_censored"": 33, ""invalidated"": 33, ""filled"": 12}",57,daily,16.666666666666668,3.0,0.027731743959393262,0.11199801615940175,0.6666666666666666
10,5,-0.0036633669252792433,10,"{""20"": 7, ""30"": 8, ""60"": 10}",-0.023006802112065294,momentum,0.01780709561107685,36,38,0.0,,0.0013421722378381684,,0.0,,10,0.0,,10,2015-2019,0.0010694493872412502,-0.0030715721992748968,True,90,"{""invalidated"": 49, ""waiting_censored"": 31, ""filled"": 10}",60,daily,15.3,8.0,0.03112319451700929,0.09347136138405976,0.5
21,5,-0.0037928827947961707,21,"{""20"": 17, ""30"": 18, ""60"": 21}",-0.03416634127294027,momentum,0.021726182083134926,73,76,-0.0002273063102591344,,0.0,,-0.0006439272359493042,,21,-0.00030626958418011885,,21,2020-2025,-0.00024095964176890878,-0.005510400123922787,True,192,"{""waiting_censored"": 101, ""invalidated"": 70, ""filled"": 21}",118,daily,11.476190476190476,2,0.07328052795048035,0.15634531354664916,0.42857142857142855
64,10,0.006125723294687413,64,"{""20"": 48, ""30"": 53, ""60"": 64}",-0.03627206794675797,momentum,0.03642518847831222,255,267,0.0,"[-9.699365763676804e-05, 0.0024540024790448145]",0.0,"[-0.0007876107791170428, 0.0028443946322481706]",0.0,"[-0.001990554612087303, 0.0003060114021224969]",64,0.0,"[0.0, 0.0016167182946293934]",64,all,0.012301747445800955,0.004049555291314011,False,641,"{""waiting_censored"": 299, ""invalidated"": 278, ""filled"": 64}",402,daily,13.5625,3.5,0.04184374273941405,0.12208026960760776,0.515625
21,10,0.023313878190549087,21,"{""20"": 15, ""30"": 18, ""60"": 21}",-0.04782882315921966,momentum,0.03163771277361205,115,118,0.0,,0.0,,0.0,,21,0.0,,21,2005-2009,0.02063493497058415,0.015869129158512907,True,281,"{""waiting_censored"": 134, ""invalidated"": 126, ""filled"": 21}",167,daily,13.047619047619047,4,0.040336092360970355,0.11735037108780477,0.5238095238095238
12,10,0.01632277686670419,12,"{""20"": 9, ""30"": 9, ""60"": 12}",-0.014339910263349687,momentum,0.05607913972077894,31,35,0.0,,0.0014846931460976709,,0.0,,12,0.00022882098971832576,,12,2010-2014,0.016557849268958414,0.027982201670778695,True,78,"{""waiting_censored"": 33, ""invalidated"": 33, ""filled"": 12}",57,daily,16.666666666666668,3.0,0.027731743959393262,0.11199801615940175,0.6666666666666666
